rollout/tel_total,rollout/steps,rollout/tran_mean,rollout/distance_travelled,rollout/ho_prob,rollout/agents_survived,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/tel_mean,rollout/exploration_rate,rollout/ep_rew_mean,rollout/tran_total,time/episodes,train/n_updates,train/loss,train/learning_rate
21.831044308148453,22,0.8371318262604444,465.31494276645526,0.7272727272727273,1,1,50,29,12.5,0.9923201958249297,0.9049999999999999,19.80444575,18.416900177729776,4,,,
13.600814222228014,23,0.8153629006636737,447.2404193672648,0.8695652173913043,1,3,94,29,11.75,0.5913397487925224,0.8214000000000001,19.967892875,18.753346715264495,8,,,
47.12152564954118,14,0.9047152279100642,348.75967691419504,0.5714285714285714,1,4,134,29,11.166666666666666,3.3658232606815126,0.7454000000000001,25.638513666666665,12.666013190740898,12,,,
32.88606878164243,2,0.9321319741815568,73.65930507582596,0.0,1,5,172,29,10.75,16.443034390821214,0.6732000000000001,30.963244625,1.8642639483631136,16,,,
5.927465874448945,13,0.9254959763650337,319.1429168152904,0.8461538461538461,1,6,206,29,10.3,0.4559589134191496,0.6086,28.5325396,12.031447692745438,20,,,
17.618948944343813,14,0.9854539004538966,368.0135329621701,0.6428571428571429,1,9,270,29,11.25,1.2584963531674151,0.487,28.492368875,13.796354606354551,24,,,
15.495465803992424,6,0.9830148670828672,173.97769971070488,0.5,1,11,333,29,11.892857142857142,2.582577633998737,0.36730000000000007,31.17339857142857,5.898089202497204,28,,,
1.5377799018004463,4,0.9331776523644408,124.67653541453878,0.5,1,12,367,29,11.46875,0.3844449754501116,0.3027000000000001,29.12260940625,3.7327106094577633,32,,,
4.853438826068436,14,0.9022110520988671,328.8930638351137,0.8571428571428571,1,14,435,29,12.083333333333334,0.34667420186203113,0.1735,31.372182194444438,12.63095472938414,36,,,
7.2770736602600214,5,0.9656716770635105,143.0325731871673,0.4,1,16,497,29,12.425,1.4554147320520043,0.05570000000000008,31.434166625,4.828358385317553,40,,,
1.3350424849089597,10,1.0,275.0,0.8,1,18,552,29,12.545454545454545,0.13350424849089598,0.05,31.265016568181817,10.0,44,51,1.7229924201965332,0.05
52.05671965561223,16,0.9687111282297052,424.68024763200816,0.4375,1,20,605,29,12.604166666666666,3.253544978475764,0.05,31.7888425,15.499378051675283,48,104,1.9115123748779297,0.05
9.75075502665686,14,0.8951491454837149,334.35307727396815,0.8571428571428571,1,23,687,29,13.211538461538462,0.6964825019040614,0.05,32.240342019230766,12.53208803677201,52,186,1.4095065593719482,0.05
16.272498847231127,29,0.6961576799383676,471.8592608160222,0.7586206896551724,1,26,780,29,13.928571428571429,0.5611206499045216,0.05,32.8328795,20.18857271821266,56,279,1.5123848915100098,0.05
3.1371694108185153,11,0.9096444942378438,280.61765985000545,0.9090909090909091,1,29,855,28,14.25,0.2851972191653196,0.05,32.25801336666667,10.006089436616282,60,354,1.8039391040802002,0.05
4.8196976355236325,19,0.8368287101680496,402.7290521491064,0.8421052631578947,1,32,934,28,14.59375,0.25366829660650697,0.05,32.420144468749996,15.899745493192942,64,433,1.7799736261367798,0.05
